,A,B,C
3219,3,5,0
3220,1,6,0
3221,1,1,3
3222,0,2,0
3223,2,4,1
3224,1,5,1
3225,1,5,2
3226,1,5,0
3227,1,4,0
3228,3,4,0
3229,1,5,0
3230,2,4,0
3231,2,6,0
3232,0,4,0
3233,1,5,1
3234,2,6,0
3235,1,4,0
3236,1,4,0
3237,2,9,0
3238,2,2,3
3239,1,3,1
3240,2,3,1
3241,0,4,3
3242,2,6,1
3243,0,6,0
3244,2,6,1
3245,1,5,3
3246,2,5,1
3247,2,5,0
3248,0,2,0
3249,2,8,1
3250,0,2,1
3251,0,6,1
3252,2,1,0
3253,1,1,3
3254,0,3,0
3255,0,5,0
3256,0,2,2
3257,1,5,0
3258,4,7,1
3259,2,6,0
3260,2,4,0
3261,1,5,1
3262,1,10,0
3263,0,7,3
3264,3,2,0
3265,2,7,0
3266,3,2,3
3267,2,4,0
3268,1,9,2
3269,2,7,1
3270,2,1,1
3271,3,1,2
3272,2,2,0
3273,4,3,1
3274,2,7,0
3275,2,3,0
3276,0,3,0
3277,2,1,1
3278,1,4,0
3279,2,7,0
3280,1,6,1
3281,0,7,1
3282,2,8,1
3283,4,1,1
3284,1,9,2
3285,3,9,0
3286,3,4,3
3287,4,3,0
3288,1,3,0
3289,4,2,1
3290,2,5,1
3291,1,2,0
3292,2,3,4
3293,1,5,2
3294,2,3,3
3295,1,2,1
3296,2,2,0
3297,2,3,1
3298,1,3,2
3299,1,2,1
3300,2,2,0
3301,2,5,2
3302,3,2,1
3303,3,3,3
3304,3,9,2
3305,3,4,3
3306,1,4,1
3307,1,2,1
3308,0,3,2
3309,0,2,0
3310,3,8,1
3311,4,3,0
3312,2,5,2
3313,2,8,1
3314,1,3,2
3315,2,7,3
3316,4,1,0
3317,3,6,0
3318,1,4,1
3319,3,4,2
3320,1,3,1
3321,2,3,1
3322,1,3,2
3323,2,5,2
3324,1,5,0
3325,1,5,2
3326,1,8,2
3327,0,6,1
3328,2,9,2
3329,2,0,0
3330,2,5,0
3331,2,5,1
3332,0,3,1
3333,1,5,1
3334,0,7,1
3335,4,4,1
3336,2,3,1
3337,2,8,0
3338,1,3,2
3339,1,5,1
3340,1,11,1
3341,2,5,1
3342,1,5,0
3343,2,2,1
3344,1,3,0
3345,1,1,0
3346,2,3,1
3347,1,4,0
3348,0,5,0
3349,2,2,1
3350,1,4,0
3351,1,2,1
3352,1,1,0
3353,0,3,0
3354,3,4,0
3355,0,4,2
3356,0,7,1
3357,0,4,2
3358,2,4,0
3359,0,12,0
3360,1,4,1
3361,1,6,0
3362,4,4,1
3363,0,7,2
3364,2,3,2
3365,3,2,0
3366,0,6,1
3367,1,4,0
3368,0,4,4
3369,2,9,2
3370,2,3,0
3371,0,6,0
3372,0,4,0
3373,1,3,0
3374,2,9,2
3375,2,5,2
3376,2,8,2
3377,0,8,0
3378,1,3,2
3379,0,3,2
3380,1,2,3
3381,3,7,1
3382,2,4,2
3383,3,5,1
3384,0,1,0
3385,0,2,0
3386,1,1,1
3387,3,9,1
3388,1,4,0
3389,0,6,1
3390,3,9,0
3391,3,3,2
3392,0,2,0
3393,0,4,3
3394,1,3,1
3395,3,1,1
3396,1,3,0
3397,2,10,3
3398,2,6,2
3399,3,2,0
3400,1,6,0
3401,3,3,0
3402,1,6,0
3403,4,3,0
3404,2,3,1
3405,2,10,1
3406,2,2,0
3407,2,5,0
3408,2,6,1
3409,1,4,0
3410,2,3,1
3411,0,5,0
3412,3,3,1
3413,1,7,1
3414,2,4,1
3415,2,4,0
3416,1,4,2
3417,1,4,0
3418,1,3,0
3419,1,4,0
3420,2,2,3
3421,4,6,0
3422,1,3,2
3423,1,2,0
3424,1,3,0
3425,3,3,2
3426,2,4,2
3427,1,7,2
3428,1,3,0
3429,0,6,2
3430,4,7,4
3431,2,1,4
3432,1,4,0
3433,1,5,1
3434,0,6,0
3435,2,5,1
3436,0,8,0
3437,1,7,0
3438,2,7,1
3439,0,6,1
3440,0,2,0
3441,0,4,1
3442,4,7,1
3443,3,4,1
3444,1,3,1
3445,0,4,1
3446,2,7,2
3447,2,7,0
3448,2,2,1
3449,4,8,1
3450,2,7,0
3451,2,1,2
3452,2,2,1
3453,0,4,0
3454,1,1,0
3455,0,7,0
3456,2,6,0
3457,1,4,0
3458,1,6,1
3459,5,6,1
3460,1,4,2
3461,3,5,0
3462,1,8,0
3463,1,3,1
3464,3,6,3
3465,3,9,0
3466,2,5,0
3467,1,7,0
3468,0,5,1
3469,3,4,1
3470,2,4,2
3471,0,5,3
3472,2,4,0
3473,3,5,1
3474,1,5,2
3475,1,3,2
3476,3,3,0
3477,0,8,3
3478,2,4,0
3479,0,7,1
3480,0,10,1
3481,0,8,1
3482,1,1,1
3483,2,4,1
3484,2,4,0
3485,2,2,0
3486,2,4,0
3487,1,9,1
3488,3,5,2
3489,2,2,1
3490,2,2,1
3491,2,2,0
3492,7,3,0
3493,1,6,1
3494,3,6,2
3495,1,2,1
3496,1,4,3
3497,0,7,0
3498,2,6,1
3499,0,7,1
3500,1,3,0
3501,1,3,0
3502,2,5,0
3503,4,4,1
3504,2,5,0
3505,0,7,0
3506,3,6,0
3507,1,5,2
3508,2,2,2
3509,0,5,0
3510,1,6,0
3511,1,0,0
3512,1,3,0
3513,2,1,0
3514,0,8,0
3515,5,5,2
3516,1,5,0
3517,0,3,0
3518,2,4,1
3519,2,4,1
3520,2,1,0
3521,2,2,2
3522,3,9,1
3523,3,6,3
3524,3,3,0
3525,2,3,0
3526,5,8,2
3527,4,2,0
3528,4,6,2
3529,1,10,1
3530,0,4,2
3531,1,8,1
3532,2,3,1
3533,2,3,0
3534,1,7,2
3535,3,3,0
3536,3,5,0
3537,1,2,1
3538,2,6,2
3539,3,4,2
3540,2,3,1
3541,1,10,0
3542,2,4,1
3543,1,5,0
3544,2,3,0
3545,0,1,0
3546,2,5,0
3547,2,3,1
3548,3,1,0
3549,1,2,2
3550,1,6,3
3551,0,3,2
3552,1,3,1
3553,1,3,1
3554,4,3,0
3555,2,4,2
3556,2,5,0
3557,1,6,1
3558,1,4,1
3559,0,3,2
3560,2,7,0
3561,1,5,0
3562,5,5,0
3563,2,5,2
3564,1,10,1
3565,0,8,0
3566,1,4,1
3567,1,13,1
3568,3,2,1
3569,1,8,2
3570,1,4,1
3571,3,3,1
3572,0,5,1
3573,2,4,0
3574,1,4,0
3575,1,6,1
3576,1,6,0
3577,2,1,2
3578,0,1,0
3579,1,1,0
3580,3,7,0
3581,2,6,0
3582,2,4,2
3583,2,6,1
3584,0,6,2
3585,1,4,2
3586,2,3,0
3587,0,2,1
3588,0,3,1
3589,1,1,1
3590,1,5,0
3591,1,2,0
3592,1,4,1
3593,2,6,0
3594,3,7,1
3595,0,6,0
3596,0,4,0
3597,3,3,0
3598,1,5,0
3599,0,3,0
3600,2,5,0
3601,3,5,0
3602,0,5,2
3603,0,0,0
3604,1,5,1
3605,0,2,1
3606,1,5,2
3607,2,0,1
3608,1,2,2
3609,0,5,1
3610,1,2,1
3611,2,6,1
3612,2,6,0
3613,0,3,0
3614,1,9,1
3615,2,4,1
3616,2,5,1
3617,0,8,0
3618,2,5,0
3619,3,5,0
3620,4,5,1
3621,4,0,1
3622,0,4,3
3623,1,8,0
3624,2,6,0
3625,3,7,1
3626,2,1,0
3627,2,3,1
3628,1,5,2
3629,1,6,0
3630,1,9,1
3631,2,1,0
3632,0,3,0
3633,1,4,0
3634,1,4,1
3635,1,9,1
3636,0,9,1
3637,0,3,0
3638,1,4,1
3639,1,1,1
3640,1,6,1
3641,2,7,1
3642,0,7,0
3643,1,3,2
3644,2,3,1
3645,5,2,1
3646,1,7,0
3647,3,3,1
3648,0,5,0
3649,1,9,1
3650,1,4,1
3651,5,3,0
3652,3,3,2
3653,0,5,0
3654,1,4,0
3655,2,8,1
3656,2,2,0
3657,0,5,2
3658,3,5,2
3659,1,6,1
3660,2,1,1
3661,2,4,1
3662,1,4,1
3663,3,6,1
3664,3,2,1
3665,1,3,1
3666,1,5,0
3667,1,2,1
3668,2,8,0
3669,2,7,1
3670,0,9,2
3671,1,1,1
3672,2,2,0
3673,1,4,0
3674,1,7,2
3675,2,4,2
3676,2,4,1
3677,2,5,1
3678,2,5,1
3679,0,7,0
3680,3,6,0
3681,0,6,0
3682,1,5,2
3683,3,5,2
3684,3,6,2
3685,3,2,2
3686,2,2,1
3687,1,6,2
3688,3,6,0
3689,1,4,1
3690,0,1,1
3691,0,3,0
3692,7,7,3
3693,1,5,0
3694,3,7,2
3695,0,8,1
3696,2,7,0
3697,1,3,0
3698,3,3,1
3699,1,6,1
3700,1,8,0
3701,1,1,2
3702,0,5,0
3703,2,5,0
3704,1,5,2
3705,2,6,1
3706,3,6,2
3707,1,7,0
3708,0,7,1
3709,3,8,1
3710,1,2,1
3711,1,4,2
3712,0,6,0
3713,1,4,1
3714,2,9,2
3715,1,2,0
3716,0,4,1
3717,0,2,0
3718,1,4,1
3719,0,3,1
3720,2,10,0
3721,2,4,3
3722,1,6,2
3723,1,9,0
3724,3,5,0
3725,3,6,1
3726,1,4,0
3727,2,3,0
3728,2,5,2
3729,0,2,1
3730,2,2,1
3731,3,3,2
3732,2,3,0
3733,3,6,2
3734,3,6,0
3735,1,4,0
3736,1,2,2
3737,3,4,1
3738,2,3,1
3739,1,3,0
3740,1,5,3
3741,1,6,0
3742,1,7,0
3743,0,8,1
3744,0,2,2
3745,2,3,1
3746,1,4,1
3747,1,3,0
3748,1,7,3
3749,3,3,2
3750,1,3,2
3751,4,6,2
3752,3,4,2
3753,0,5,1
3754,5,3,2
3755,1,0,0
3756,1,4,1
3757,0,4,0
3758,1,7,2
3759,3,5,0
3760,1,3,0
3761,2,3,1
3762,0,4,1
3763,2,6,0
3764,4,8,0
3765,2,2,2
3766,2,5,0
3767,0,4,2
3768,1,2,1
3769,0,5,1
3770,1,4,1
3771,2,7,2
3772,2,2,0
3773,2,6,1
3774,0,5,0
3775,0,3,0
3776,3,6,0
3777,2,8,0
3778,2,5,2
3779,2,3,0
3780,0,3,1
3781,0,2,1
3782,6,5,1
3783,0,5,0
3784,0,3,1
3785,2,9,1
3786,3,5,2
3787,2,4,0
3788,4,2,1
3789,1,5,1
3790,2,6,1
3791,1,7,0
3792,1,6,2
3793,3,10,1
3794,1,7,2
3795,0,4,1
3796,0,5,1
3797,5,0,1
3798,0,3,0
3799,4,5,0
3800,2,2,2
3801,0,5,2
3802,1,2,0
3803,2,4,2
3804,1,2,0
3805,0,6,0
3806,2,2,1
3807,1,2,0
3808,2,4,1
3809,3,3,0
3810,0,5,1
3811,1,5,0
3812,4,4,0
3813,3,1,1
3814,2,1,0
3815,2,4,0
3816,1,5,1
3817,2,8,0
3818,0,4,0
3819,1,2,1
3820,1,3,0
3821,1,6,1
3822,1,3,0
3823,0,3,1
3824,2,6,0
3825,0,6,0
3826,2,2,0
3827,0,0,1
3828,3,4,3
3829,2,6,1
3830,2,6,2
3831,2,5,1
3832,1,3,1
3833,1,3,0
3834,1,2,2
3835,1,1,1
3836,4,7,1
3837,2,7,1
3838,1,6,1
3839,2,1,1
3840,5,3,2
3841,2,2,0
3842,1,7,2
3843,1,5,1
3844,0,4,2
3845,1,9,0
3846,0,6,1
3847,1,3,2
3848,2,3,0
3849,1,4,0
3850,1,3,0
3851,0,5,2
3852,0,4,3
3853,1,5,1
3854,2,5,0
3855,0,3,0
3856,3,1,0
3857,1,4,0
3858,4,4,1
3859,1,6,0
3860,3,3,4
3861,5,8,0
3862,1,6,3
3863,3,3,1
3864,1,5,2
3865,3,4,2
3866,0,5,3
3867,4,3,0
3868,2,4,1
3869,1,5,0
3870,2,2,0
3871,0,6,1
3872,3,6,0
3873,0,1,0
3874,2,5,0
3875,1,2,1
3876,3,3,0
3877,1,5,2
3878,1,4,0
3879,0,2,3
3880,6,4,1
3881,1,3,0
3882,0,6,0
3883,2,6,0
3884,3,3,0
3885,1,5,2
3886,3,6,0
3887,2,3,1
3888,3,5,1
3889,3,6,2
3890,0,5,1
3891,1,4,2
3892,1,7,0
3893,2,7,1
3894,2,6,0
3895,1,5,0
3896,0,5,1
3897,3,1,1
3898,0,3,0
3899,2,2,2
3900,2,6,0
3901,1,0,0
3902,0,7,2
3903,0,5,1
3904,0,7,0
3905,4,4,0
3906,0,5,0
3907,3,2,1
3908,1,7,2
3909,1,4,1
3910,2,4,2
3911,3,5,1
3912,0,3,2
3913,1,2,0
3914,3,4,0
3915,4,5,2
3916,2,6,1
3917,3,6,1
3918,0,7,2
3919,1,5,1
3920,1,7,3
3921,2,4,1
3922,2,4,0
3923,2,4,1
3924,2,4,1
3925,0,9,3
3926,1,5,1
3927,0,6,1
3928,3,1,1
3929,0,4,1
3930,2,5,0
3931,3,5,1
3932,0,5,1
3933,3,3,2
3934,0,3,2
3935,0,6,1
3936,0,2,0
3937,2,6,0
3938,0,5,0
3939,2,7,1
3940,0,2,0
3941,0,3,1
3942,1,4,0
3943,2,2,0
3944,1,2,1
3945,1,4,1
3946,3,2,1
3947,1,7,1
3948,2,6,0
3949,2,8,0
3950,2,6,1
3951,0,5,0
3952,0,2,0
3953,4,3,1
3954,3,7,0
3955,1,1,1
3956,4,3,1
3957,2,7,0
3958,1,3,1
3959,1,7,1
3960,0,3,2
3961,1,4,0
3962,0,2,0
3963,3,3,1
3964,1,6,3
3965,1,6,1
3966,1,3,2
3967,1,3,1
3968,1,8,0
3969,2,4,1
3970,3,1,0
3971,1,3,1
3972,2,2,1
3973,0,3,4
3974,3,2,1
3975,0,4,0
3976,1,7,0
3977,2,5,0
3978,5,1,5
3979,2,10,0
3980,1,4,0
3981,3,6,1
3982,1,6,0
3983,4,3,0
3984,0,4,4
3985,3,1,1
3986,1,7,3
3987,3,6,2
3988,1,3,0
3989,4,4,3
3990,2,7,0
3991,3,6,1
3992,0,7,0
3993,0,5,2
3994,0,1,1
3995,1,4,0
3996,0,1,0
3997,4,6,0
3998,1,5,3
3999,1,4,3
4000,2,6,2
4001,1,5,0
4002,6,2,2
4003,0,5,0
4004,2,5,3
4005,2,5,3
4006,2,4,1
4007,2,6,0
4008,3,1,0
4009,0,4,0
4010,1,4,0
4011,5,3,1
4012,0,4,1
4013,1,6,2
4014,2,0,2
4015,1,6,0
4016,2,6,0
4017,1,6,2
4018,0,12,1
4019,2,7,1
4020,4,5,1
4021,1,4,1
4022,1,4,0
4023,3,8,3
4024,1,6,0
4025,2,9,1
4026,0,2,0
4027,1,8,1
4028,1,3,2
4029,0,2,1
4030,2,2,2
4031,2,7,0
4032,3,3,1
4033,2,3,1
4034,3,4,2
4035,1,3,1
4036,6,4,1
4037,1,3,0
4038,4,4,0
4039,3,7,0
4040,1,3,0
4041,0,10,0
4042,0,8,0
4043,2,4,1
4044,0,6,1
4045,4,5,2
4046,2,2,1
4047,0,6,1
4048,2,7,2
4049,0,4,1
4050,1,5,1
4051,1,5,4
4052,1,3,1
4053,2,5,2
4054,1,4,0
4055,2,7,1
4056,0,6,0
4057,1,5,1
4058,2,4,1
4059,3,6,2
4060,1,3,0
4061,2,3,0
4062,0,2,1
4063,2,6,2
4064,2,4,1
4065,2,5,0
4066,5,5,1
4067,0,3,0
4068,0,2,1
4069,3,3,1
4070,4,3,0
4071,3,6,0
4072,1,3,0
4073,1,3,1
4074,1,5,1
4075,1,6,2
4076,2,3,0
4077,0,6,0
4078,2,3,1
4079,2,3,0
4080,1,7,0
4081,0,3,0
4082,2,3,3
4083,1,6,1
4084,0,7,1
4085,1,7,1
4086,1,6,1
4087,1,3,2
4088,0,1,1
4089,2,5,1
4090,1,5,0
4091,3,4,2
4092,1,3,0
4093,2,3,1
4094,2,11,0
4095,1,7,0
4096,2,5,3
4097,1,6,0
4098,1,5,0
4099,0,2,2
4100,1,3,0
4101,1,5,0
4102,2,3,0
4103,1,2,0
4104,0,6,1
4105,2,5,2
4106,2,8,0
4107,1,9,2
4108,0,3,0
4109,1,6,1
4110,2,3,3
4111,2,5,1
4112,0,4,2
4113,2,3,0
4114,0,6,1
4115,1,3,0
4116,1,4,1
4117,2,0,0
4118,2,2,0
4119,1,8,1
4120,0,3,1
4121,0,2,1
4122,1,2,1
4123,3,5,3
4124,0,3,1
4125,3,5,2
4126,3,2,4
4127,1,3,1
4128,1,5,4
4129,2,3,0
4130,1,6,1
4131,1,4,1
4132,3,4,1
4133,0,4,4
4134,0,4,1
4135,3,3,1
4136,1,5,1
4137,3,3,1
4138,4,3,0
4139,1,4,0
4140,2,2,2
4141,0,2,2
4142,0,3,0
4143,2,6,2
4144,2,6,0
4145,0,2,0
4146,1,4,0
4147,0,5,2
4148,4,3,1
4149,2,4,1
4150,1,3,1
4151,1,5,0
4152,3,3,0
4153,0,4,0
4154,2,6,1
4155,2,3,1
4156,1,7,3
4157,0,5,0
4158,0,3,1
4159,2,6,2
4160,1,3,0
4161,0,5,1
4162,1,4,1
4163,1,3,0
4164,2,7,2
4165,3,4,0
4166,1,5,1
4167,1,3,0
4168,0,7,2
4169,1,7,3
4170,0,6,0
4171,1,4,0
4172,2,3,0
4173,3,3,1
4174,0,5,1
4175,4,9,0
4176,2,5,0
4177,3,3,1
4178,0,6,1
4179,2,4,0
4180,1,5,1
4181,1,5,1
4182,4,3,0
4183,1,4,0
4184,1,2,0
4185,0,10,0
4186,1,2,1
4187,4,8,1
4188,1,4,1
4189,2,5,1
4190,1,5,3
4191,2,3,0
4192,1,4,2
4193,3,4,0
4194,3,5,0
4195,3,4,1
4196,4,7,1
4197,2,11,0
4198,1,3,0
4199,4,8,1
4200,1,4,0
4201,1,10,1
4202,0,6,0
4203,0,4,1
4204,1,5,0
4205,0,4,0
4206,1,9,1
4207,1,2,1
4208,1,1,2
4209,1,2,1
4210,2,9,0
4211,4,2,1
4212,0,2,0
4213,1,6,2
4214,1,8,2
4215,1,4,2
4216,1,11,0
4217,0,2,1
4218,3,6,1
4219,4,6,0
4220,2,7,1
4221,3,4,0
4222,2,3,1
4223,1,4,1
4224,0,9,0
4225,1,3,1
4226,1,9,1
4227,1,7,2
4228,2,6,0
4229,3,5,2
4230,3,4,0
4231,2,6,1
4232,1,7,1
4233,1,6,1
4234,0,4,0
4235,2,6,0
4236,1,6,1
4237,1,3,1
4238,1,3,1
4239,0,5,2
4240,3,7,1
4241,1,5,0
4242,1,0,2
4243,1,3,2
4244,1,2,0
4245,1,4,1
4246,3,4,1
4247,1,5,0
4248,1,10,0
4249,0,3,1
4250,3,3,1
4251,1,5,2
4252,1,8,0
4253,2,5,1
4254,1,7,1
4255,1,4,2
4256,2,8,1
4257,3,1,4
4258,1,6,4
4259,2,3,1
4260,1,3,0
4261,2,5,1
4262,0,1,0
4263,1,7,0
4264,2,5,0
4265,4,5,1
4266,3,4,0
4267,1,5,1
4268,2,3,1
4269,1,4,1
4270,4,9,0
4271,3,3,3
4272,5,8,1
4273,2,6,5
4274,0,3,0
4275,0,8,0
4276,3,6,0
4277,2,4,0
4278,2,11,1
4279,2,2,1
4280,1,5,2
4281,0,4,1
4282,1,2,0
4283,0,8,1
4284,5,1,2
4285,0,4,2
4286,0,7,2
4287,0,8,0
4288,3,5,0
4289,1,4,0
4290,2,4,0
4291,4,2,0
4292,1,2,0
4293,1,3,0
4294,1,8,1
4295,3,6,0
4296,0,2,0
4297,2,5,4
4298,2,4,0
4299,2,2,1
4300,3,2,1
4301,2,3,0
4302,0,5,1
4303,1,3,0
4304,2,9,0
4305,4,2,2
4306,2,6,3
4307,2,5,1
4308,0,6,0
4309,1,6,1
4310,1,2,0
4311,0,6,1
4312,0,4,0
4313,1,0,1
4314,1,8,0
4315,4,4,0
4316,3,7,1
4317,1,4,0
4318,0,3,0
4319,1,3,3
4320,2,6,1
4321,1,5,1
4322,0,4,0
4323,0,4,1
4324,2,4,1
4325,1,3,1
4326,0,1,2
4327,2,2,0
4328,3,7,0
4329,0,5,0
4330,2,9,2
4331,2,8,0
4332,0,3,2
4333,3,3,1
4334,1,6,2
4335,3,6,0
4336,2,3,1
4337,1,2,1
4338,4,7,1
4339,1,4,3
4340,0,5,0
4341,4,4,0
4342,3,5,2
4343,1,6,1
4344,1,3,1
4345,2,5,1
4346,2,4,2
4347,1,4,2
4348,3,5,0
4349,1,3,1
4350,1,7,1
4351,0,5,0
4352,1,7,0
4353,0,3,0
4354,1,3,2
4355,2,5,0
4356,1,6,1
4357,0,0,0
4358,2,1,1
4359,3,0,0
4360,1,8,0
4361,1,3,1
4362,1,3,0
4363,2,6,0
4364,3,6,1
4365,1,3,3
4366,1,9,2
4367,2,6,3
4368,0,2,1
4369,4,7,0
4370,2,3,0
4371,1,4,1
4372,2,1,3
4373,0,5,1
4374,0,1,0
4375,2,3,1
4376,0,5,1
4377,0,8,2
4378,0,6,1
4379,1,9,2
4380,3,2,0
4381,4,5,2
4382,3,2,1
4383,0,4,2
4384,1,3,2
4385,1,8,2
4386,0,3,0
4387,1,3,0
4388,4,7,2
4389,3,2,2
4390,3,3,4
4391,1,9,0
4392,0,5,1
4393,2,5,2
4394,4,3,0
4395,0,3,0
4396,1,2,0
4397,0,9,2
4398,1,1,2
4399,0,2,2
4400,1,2,2
4401,0,6,2
4402,1,4,0
4403,3,4,2
4404,0,1,1
4405,3,4,1
4406,1,5,0
4407,2,6,1
4408,0,2,2
4409,1,6,1
4410,0,4,0
4411,0,4,0
4412,1,3,1
4413,3,9,0
4414,1,3,1
4415,0,5,2
4416,1,2,0
4417,2,3,1
4418,0,5,0
4419,2,8,0
4420,3,4,0
4421,1,4,3
4422,1,7,2
4423,0,7,1
4424,2,5,1
4425,2,4,2
4426,2,5,2
4427,2,5,0
4428,2,3,0
4429,2,4,3
4430,2,4,0
4431,1,0,1
4432,1,3,0
4433,0,5,1
4434,0,5,1
4435,2,3,0
4436,0,7,0
4437,1,7,2
4438,1,2,1
4439,2,6,1
4440,1,5,0
4441,0,8,0
4442,5,2,1
4443,1,5,1
4444,1,3,0
4445,1,5,2
4446,3,4,0
4447,0,1,0
4448,4,6,1
4449,1,5,0
4450,2,4,2
4451,2,3,3
4452,4,4,1
4453,5,1,0
4454,0,5,1
4455,1,9,1
4456,4,3,2
4457,0,3,2
4458,2,7,1
4459,2,4,0
4460,2,6,0
4461,1,5,0
4462,0,3,1
4463,1,5,1
4464,0,6,0
4465,0,7,0
4466,3,1,0
4467,2,2,0
4468,2,7,1
4469,1,6,1
4470,2,7,0
4471,2,7,1
4472,0,5,1
4473,0,8,0
4474,0,4,2
4475,0,5,3
4476,0,10,0
4477,2,3,1
4478,0,7,0
4479,2,4,1
4480,4,6,0
4481,0,2,0
4482,3,4,0
4483,1,6,0
4484,0,4,0
4485,4,7,0
4486,3,1,1
4487,2,5,1
4488,0,8,0
4489,2,6,0
4490,0,4,0
4491,3,7,3
4492,4,2,0
4493,1,4,2
4494,2,7,0
4495,0,8,0
4496,2,3,1
4497,1,5,0
4498,3,6,2
4499,3,5,1
4500,2,4,0
4501,2,7,1
4502,3,1,1
4503,3,7,0
4504,1,5,0
4505,2,4,0
4506,1,1,2
4507,3,3,1
4508,1,6,0
4509,1,9,3
4510,1,8,1
4511,2,2,1
4512,1,3,1
4513,0,2,0
4514,3,1,2
4515,1,4,0
4516,2,4,0
4517,3,3,0
4518,1,3,1
4519,0,6,2
4520,3,7,1
4521,2,4,0
4522,2,10,0
4523,1,7,0
4524,2,5,1
4525,0,4,1
4526,1,5,0
4527,0,5,0
4528,3,5,1
4529,1,3,0
4530,2,3,0
4531,0,5,1
4532,0,3,3
4533,4,2,1
4534,1,10,1
4535,2,5,1
4536,2,4,3
4537,0,6,0
4538,0,5,1
4539,3,8,0
4540,1,5,0
4541,4,8,0
4542,3,6,1
4543,2,5,0
4544,2,5,2
4545,0,4,0
4546,2,3,1
4547,0,5,3
4548,1,5,1
4549,1,5,0
4550,1,3,1
4551,2,4,1
4552,1,6,1
4553,2,2,1
4554,2,10,1
4555,1,5,0
4556,3,3,0
4557,1,4,0
4558,2,5,0
4559,1,3,0
4560,4,4,0
4561,2,2,0
4562,0,1,1
4563,0,5,0
4564,1,2,0
4565,1,3,2
4566,0,5,1
4567,1,4,0
4568,5,4,1
4569,1,3,3
4570,2,6,0
4571,0,5,0
4572,0,2,1
4573,2,2,2
4574,3,3,1
4575,2,2,0
4576,1,4,0
4577,1,2,2
4578,3,2,0
4579,2,5,2
4580,2,3,0
4581,1,2,2
4582,1,6,0
4583,2,9,1
4584,1,3,0
4585,1,3,1
4586,2,4,2
4587,1,3,0
4588,2,3,0
4589,2,2,2
4590,2,5,1
4591,2,2,2
4592,2,0,0
4593,1,3,1
4594,0,5,2
4595,2,2,2
4596,4,3,1
4597,1,5,0
4598,3,4,1
4599,3,5,1
4600,1,4,3
4601,3,6,0
4602,0,6,0
4603,3,6,0
4604,1,3,2
4605,0,4,1
4606,4,3,1
4607,4,4,5
4608,1,7,0
4609,2,6,2
4610,4,7,0
4611,1,6,0
4612,3,4,0
4613,1,5,1
4614,0,5,1
4615,2,7,1
4616,0,5,3
4617,4,4,1
4618,1,5,1
4619,1,4,2
4620,2,6,0
4621,1,7,1
4622,2,3,0
4623,1,9,1
4624,1,3,0
4625,3,9,0
4626,0,3,1
4627,2,4,0
4628,1,4,1
4629,0,6,2
4630,4,4,1
4631,2,2,1
4632,5,10,0
4633,0,6,5
4634,0,5,2
4635,3,7,1
4636,1,5,1
4637,1,3,1
4638,0,5,2
4639,2,4,3
4640,1,3,1
4641,0,7,1
4642,2,6,1
4643,3,6,1
4644,1,6,1
4645,1,4,1
4646,2,11,0
4647,1,9,1
4648,0,6,1
4649,3,5,0
4650,0,3,1
4651,1,6,1
4652,0,4,1
4653,0,6,0
4654,3,3,0
4655,0,4,1
4656,1,4,0
4657,1,8,0
4658,1,6,0
4659,3,6,2
4660,2,2,1
4661,1,4,1
4662,2,8,0
4663,0,5,1
4664,4,6,2
4665,4,3,1
4666,1,4,1
4667,0,3,1
4668,1,1,1
4669,2,9,0
4670,2,2,0
4671,1,3,0
4672,1,5,2
4673,1,4,1
4674,1,2,1
4675,1,6,0
4676,3,6,2
4677,1,5,0
4678,1,5,0
4679,1,8,2
4680,3,6,1
4681,1,5,0
4682,0,6,1
4683,0,5,3
4684,3,4,0
4685,2,2,1
4686,0,4,1
4687,1,3,1
4688,2,5,1
4689,1,2,0
4690,2,4,4
4691,0,4,1
4692,3,4,2
4693,1,3,0
4694,3,4,0
4695,0,8,1
4696,2,2,0
4697,1,3,0
4698,0,2,1
4699,3,6,0
4700,2,9,0
4701,1,1,1
4702,2,5,0
4703,1,5,0
4704,1,5,0
4705,3,7,2
4706,1,6,2
4707,1,10,0
4708,1,5,1
4709,4,6,0
4710,1,2,1
4711,1,7,1
4712,2,3,1
4713,3,2,2
4714,2,3,1
4715,2,4,1
4716,1,2,1
4717,4,4,0
4718,4,5,1
4719,1,5,1
4720,0,3,1
4721,1,2,0
4722,3,7,1
4723,1,2,0
4724,4,3,0
4725,2,4,0
4726,2,5,1
4727,2,6,0
4728,2,6,2
4729,1,4,0
4730,0,6,1
4731,3,4,1
4732,4,0,1
4733,3,4,1
4734,2,5,3
4735,3,8,0
4736,0,4,0
4737,5,5,1
4738,0,7,1
4739,1,4,1
4740,6,5,1
4741,2,4,1
4742,2,5,0
4743,2,5,0
4744,4,6,2
4745,3,8,0
4746,1,2,1
4747,5,3,1
4748,2,8,0
4749,1,5,1
4750,2,6,0
4751,3,3,1
4752,2,4,2
4753,7,10,0
4754,3,3,2
4755,1,4,0
4756,2,2,0
4757,1,6,0
4758,2,4,1
4759,1,2,2
4760,5,7,0
4761,4,1,3
4762,1,3,0
4763,3,3,0
4764,3,6,1
4765,2,6,0
4766,3,2,0
4767,3,1,0
4768,0,7,0
4769,2,7,1
4770,1,3,0
4771,0,6,2
4772,2,7,2
